Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
16/12/2006;17:24:00;4.109;0.559;235.917;21.9;0.985;1.642;16.29
16/12/2006;17:25:00;5.563;0.574;238.3;17.5;1.69;0.607;17.493
16/12/2006;17:26:00;5.874;0.47;232.051;19.1;0.316;1.371;16.986
16/12/2006;17:27:00;4.785;0.547;233.608;19.3;1.237;1.966;17.177
16/12/2006;17:28:00;3.828;0.543;232.404;15.2;1.737;1.133;15.655
16/12/2006;17:29:00;3.827;0.49;233.945;21.8;0.735;1.515;15.72
16/12/2006;17:30:00;5.063;0.552;236.924;22.1;1.568;1.011;17.732
16/12/2006;17:31:00;5.619;0.451;232.279;16.6;1.363;1.571;17.035
16/12/2006;17:32:00;5.028;0.443;233.442;20.3;1.53;0.82;16.168
16/12/2006;17:33:00;5.084;0.465;236.562;23.6;0.531;1.379;16.747
16/12/2006;17:34:00;4.146;0.408;231.999;20.6;0.306;1.342;17.124
16/12/2006;17:35:00;3.651;0.489;230.527;20.3;1.594;0.701;15.145
16/12/2006;17:36:00;3.54;0.49;239.076;23.9;0.983;1.849;16.827
16/12/2006;17:37:00;4.4;0.425;237.231;21.1;0.461;1.156;15.374
16/12/2006;17:38:00;3.116;0.49;232.64;21.5;0.77;0.164;16.985
16/12/2006;17:39:00;5.314;0.496;238.42;23.7;1.089;1.146;16.144
16/12/2006;17:40:00;3.85;0.563;233.769;18.4;0.556;1.337;15.69
16/12/2006;17:41:00;4.955;0.585;232.383;22.8;0.586;0.271;16.488
16/12/2006;17:42:00;3.83;0.402;235.21;15.1;0.208;0.044;16.212
16/12/2006;17:43:00;4.768;0.559;235.006;25.0;0.92;0.168;17.916
16/12/2006;17:44:00;4.906;0.407;238.747;22.7;0.11;1.14;15.549
16/12/2006;17:45:00;4.467;0.532;237.936;20.6;1.538;0.882;15.19
16/12/2006;17:46:00;3.692;0.497;239.251;17.3;0.796;0.165;16.888
16/12/2006;17:47:00;5.983;0.404;231.45;24.2;1.703;1.694;15.11
16/12/2006;17:48:00;5.452;0.441;236.934;24.7;1.106;0.905;15.418
16/12/2006;17:49:00;4.508;0.545;238.465;22.4;1.65;0.727;15.381
16/12/2006;17:50:00;4.12;0.414;236.655;15.2;1.135;0.357;15.495
16/12/2006;17:51:00;5.994;0.541;235.964;17.2;1.174;1.85;17.161
16/12/2006;17:52:00;5.331;0.488;234.774;22.5;1.403;0.09;17.13
16/12/2006;17:53:00;3.283;0.466;230.532;22.5;0.124;1.088;17.773
16/12/2006;17:54:00;5.624;0.421;232.234;18.2;1.505;0.172;15.491
16/12/2006;17:55:00;5.354;0.555;233.022;21.5;1.211;0.603;16.108
16/12/2006;17:56:00;4.974;0.595;237.122;24.1;1.143;1.319;17.448
16/12/2006;17:57:00;3.959;0.507;232.54;23.7;0.478;0.521;16.527
